id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>
11	"aina, t."	0.4238	-0.4601	3	23	33	4
12	"alexander, l. v."	-0.4024	0.0081	1	18	18	3
16	"allen, m. r."	0.2854	-0.2608	5	66	142	31
26	"andrews, t."	-0.694	-0.6486	8	7	8	2
30	"arblaster, j. m."	-1.2942	0.5653	10	4	12	3
36	"arribas, a."	0.1428	-0.7635	1	8	9	2
37	"arrighi, j."	-0.1154	0.5863	6	10	20	2
45	"balmaseda, m. a."	0.3105	0.8259	9	12	15	3
53	"barriopedro, d."	0.003	-0.9035	2	9	12	3
62	"bellprat, o."	0.4408	0.6568	4	2	3	2
64	"benedetti, a."	-1.0439	-0.3834	11	6	10	2
71	"betts, r. a."	0.7771	-0.0697	3	23	23	3
74	"beyerle, u."	-0.3978	-0.4247	5	10	12	3
82	"black, m. t."	-0.9818	0.3511	10	9	9	2
92	"bonfils, c. j. w."	-0.0364	-0.7754	1	4	5	2
93	"bony, s."	0.9571	0.2597	4	7	8	2
96	"booth, b. b. b."	0.8871	-0.2964	3	18	24	3
99	"boucher, o."	-0.6726	-0.1218	11	16	16	2
102	"bowery, a."	0.1654	-0.0109	5	18	21	2
103	"boyd, e."	0.6524	0.2114	4	11	11	2
105	"bozzo, a."	-0.9729	-0.4153	11	6	10	2
111	"brown, s. j."	0.8144	-0.2115	3	17	20	3
115	"buizza, r."	0.0519	0.6958	9	5	5	2
124	"cassou, c."	-0.2429	-0.1202	6	9	9	2
125	"cattiaux, j."	-0.2979	-0.0798	6	4	4	2
127	"chan, s. c."	1.2393	-0.1725	3	9	9	2
140	"christensen, c."	0.6212	-0.5644	3	15	21	2
143	"christidis, n."	-0.1077	-0.3171	1	32	48	10
145	"ciavarella, a."	0.1212	0.1983	1	12	15	3
146	"clark, r. t."	1.1261	-0.1846	3	22	33	3
155	"collins, m."	0.6035	-0.3025	3	28	34	4
156	"collins, w. d."	-0.3869	-0.5967	8	10	10	2
157	"comer, r. e."	0.2308	-0.8232	1	6	7	2
162	"coumou, d."	0.4751	0.3075	5	3	3	2
186	"demory, m."	-0.8952	0.0405	2	9	14	2
190	"deser, c."	-0.7095	0.4062	2	9	10	3
199	"doblas-reyes, f. j."	0.404	0.6049	4	8	10	5
200	"dole, r. m."	-0.2268	-0.8489	1	13	21	3
204	"dong, b."	0.2102	0.3405	5	7	7	2
213	"dufresne, j."	-0.5172	-0.6767	8	10	11	2
214	"dunn, r. j. h."	-0.5117	0.8807	7	13	18	4
216	"dunstone, n. j."	0.2207	-0.6217	1	9	10	2
217	"durack, p. j."	-0.0224	-0.6819	1	9	9	2
219	"durre, i."	-0.3613	1.0388	7	7	11	3
233	"eischeid, j."	-0.3655	-0.8327	1	7	13	2
239	"eyring, v."	0.9059	0.3499	4	11	15	3
242	"faull, n."	0.4639	-0.5865	3	15	21	2
246	"fereday, d."	0.2467	-0.7401	1	11	13	3
248	"ferranti, l."	0.595	0.7289	9	15	15	3
251	"fischer, e. m."	-0.7083	-0.2872	8	9	17	6
254	"flemming, j."	-1.0475	-0.3092	11	6	10	2
257	"folland, c. k."	-0.3195	0.6117	7	6	7	2
259	"forster, p. m."	0.0349	-0.5875	8	9	10	2
260	"fosser, g."	1.1887	-0.4006	3	14	20	2
262	"fowler, h. j."	0.7516	0.2095	4	13	13	3
264	"frame, d. j."	0.2634	-0.4879	3	36	52	9
275	"fyfe, j. c."	-0.6482	0.2858	2	9	9	2
281	"garcía-serrano, j."	-0.7001	0.2267	2	10	10	2
294	"gillett, n. p."	-0.2425	-0.2987	1	20	23	4
305	"gregory, j. m."	-0.6354	-0.6184	8	7	8	2
310	"guemas, v."	0.4005	0.6751	4	2	2	2
313	"guillod, b. p."	-0.3954	-0.1995	5	11	13	3
319	"haarsma, r."	0.5129	0.5224	4	8	8	2
325	"hamill, t. m."	-0.5627	0.2145	2	5	5	2
329	"harrington, l. j."	-0.3083	-0.0191	6	6	7	2
331	"harris, g. r."	1.0446	-0.3914	3	22	41	5
333	"harvey, b."	-0.35	0.2871	2	12	12	2
337	"hasselmann, k."	-0.1877	-0.2326	1	2	2	3
340	"hauser, m."	-0.5652	-0.1354	2	2	3	2
342	"haustein, k."	0.0963	0.0869	5	28	38	5
345	"hazeleger, w."	0.4679	0.433	4	9	9	2
350	"hegerl, g. c."	-0.2908	-0.2053	1	28	32	6
353	"hendon, h. h."	-1.3571	0.5205	10	4	12	3
355	"herring, s. c."	-0.0211	-0.3523	1	3	4	2
364	"hoerling, m. p."	-0.2139	-0.7444	1	14	24	4
365	"hogan, e."	-0.6615	0.7247	7	8	13	2
367	"hope, p."	-1.2236	0.4349	10	6	18	5
